name,image,class,subclass,description,ingredients,hp,effect
Creamy Meat Soup,40px-BotW_Creamy_Meat_Soup_Icon.png?version=04b41b0927a22c68a9b5d6e6883923d8 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/EW07h466Jyf6i0qk38yS_A/VmsR6DKxzTBnZL-NbhB9ylFUjHrMKladsLuMKiPaQqcP7jJS1wdnvZ1Tp-ozJhcxN6hDPoJf1OkknjeWO_MuJpMpA9wGOvZxfE0FVHE_HvUO-NO5rE4PaERHDYjvvSxd43234jVhbgQfDHBs7NWGJlcG1iPnEqUBUMf5XOBE2CNwZ5YvyN1m8GWUtd3wntd-/5HkUfxRvkcHsRHK6BKjMEZoh45zixS3od5OcyxXc1aE),Food,Cooked,This nutritious soup contains serious portions of lightly-braised meat and many vegetables.,"Any Meat,Any Vegetable,Any Flower or Herb,Fresh Milk,Rock Salt",,
Creamy Seafood Soup,40px-BotW_Creamy_Seafood_Soup_Icon.png?version=740d1081107f67efd3ba435b053db9b7 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/VwrLiT-JTmkdhg57XiaZOQ/qeeYYpSz-98BKJT6CuRLiUSUw4XTdIYy7jfzocD0VwCt_3ZJ_k-bWIQX6H3Y3Hqq29hTVgGzeb2ZYVahinapH_WKPS15v3rCtb9f9PYYoOE6b4oFQCNVhL5Gx9ddM4ocrtPsKFOMScss9XYaMs3h92jKqgSoxb_kyU08o9_6lBuF6z-McSa5hTqDPC1tm58B/bImpqPaeMsxAEil3WqNHva8kvGK0vEYN5Y-q0-D3FR0),Food,Cooked,Thuck-cut chunks of seafood and stock provides a satisfying savoriness.,"Any Seafood,Any Vegetable,Any Flower or Herb,Fresh Milk,Rock Salt",,
Curry Pilaf,40px-BotW_Curry_Pilaf_Icon.png?version=ff750545d6a26818eed19440b0992ed7 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ER5_LTDMkTn1g3S5t_CIOw/zOZCqPOGIicClKvLreijqQzu_SHIlhAeQ1nIvAw7BL7YV6_jMlQgvhnqTFWZPPJcB66UmAZSbGdw1ZgL49BgCBD8g-kW_u6JfaTT391C4z2Jrobu-NLCSRcqx7KQ5Jy55DcSzB_JjcmDSXPqZH8fLjP-cTF5l9U_xGYSntcXhKEhFm1jXC0lomx9Q_Myj881/6eQtV2q6lz3ePrI_LmL_j_Xo0hwFnXXChvjdQwOFB4g),Food,Cooked,"The goron spice used in this pilaf has given it a rich, spicy aroma.","Hylian Rice,Bird Egg,Goat Butter,Goron Spice",,
Curry Rice,40px-BotW_Curry_Rice_Icon.png?version=ffaaf0629af6895e0f47ef347a59b47f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/AzpEPYWSBb3FNvMiHYFEDg/Z9BmUdNKFQubz48w6azKmKJm9bkE6QWULP6Fdb-2j0ludo0gP1ZqAwuF_Osh8AV3a77nUDwlSMV0r5kAmf95vn9Vi_ykn03SqHcviasygaHrso3THcqToFIfYSWP2c_Of8hIJcO8HbMWyMxaE1rGvpXbo4-j8q2aCrMLGwzs_uY/CUQKSvetH8U9fGaeiKzGWc3Rl8y__adkykJw6Wf1NO8),Food,Cooked,"A favorite all over Hyrule, this simple dish has a flavor you just won't get tired of.","Hylian Rice,Goron Spice",,
Dubious Food,40px-BotW_Dubious_Food_Icon.png?version=616ff72a32491eee2f3bc0425496a172 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/mVHkN3HAWKmWSziubpnl8g/EtHlouhRI2mfHH-jiNviJEF6pvdcwmXT5FI6VqD55YSihoZbt8W8EXOuf0K2rdGjnwI18ESzVs_N-R3znpYyWaTYyCNhddjuGr2M2chYqKJy0VFqPe22jwb9lVCgn_B219-Ln_A0snS-3l4HwuNUh3jeO4CQeIdrWIDowfj8A_JUgxktVQq6oNnWmCwX5EEo/Xd6dPu2pN7hcd4k1nhHCeTffemmUG0jaaur01yb4GS0),Food,Cooked,It's too gross to even look at. A bizarre smell issues forth from this heap. Eating it won't hurt you though...probably.,"Any Monster Part,Wood,Bladed Rhino Beetle,Rugged Rhino Beetle,Energetic Rhino Beetle,Cold Darner,Warm Darner,Electric Darner,Hearty Lizard,Hightail Lizard,Fireproof Lizard,Tireless Frog,Hot-Footed Frog,Restless Cricket,Summerwing Butterfly,Winterwing Butterfly,Smotherwing Butterfly,Thunderwing Butterfly,Sunset Firefly",,
Egg Pudding,40px-BotW_Egg_Pudding_Icon.png?version=b365e920f61ed5660dc265d061f98a05 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/5Uu8CzfGGIZbkE7HE2HhIQ/ORIizwMwdrx8dZ7l2_u5AHpfLPRNwjdTtDhPMu5pTZf9TKiLI9n7HxVPT_gLY9PyQT86rwujZ7bdNXeM9FN5_BlC3RHl0OxYSefJOZTa2fCLNVw7zQcO6K9P6bVqcHqy6KrtRk59B39jkEqkgc81U8HLSuhFqX95PZz8hCKtlpL7PpePyW0_xTt-HMOSY7Ch/_sELkftkGC_S6_cIslUi51yazALP9kclBguqaOdLs0A),Food,Cooked,"Made by cooking eggs and milk in a special mold, its soft texture melts in your mouth.","Fresh Milk,Bird Egg,Cane Sugar",,
Egg Tart,40px-BotW_Egg_Tart_Icon.png?version=007a5e74b7fba133f99e6ae670315d39 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/fNL26S7JgcWDw_CurSyD0A/rBUACkvqO9ct73auYBonoQqn4h3sJc4UAroS0xTFOQWKAxsr6bYvcApUHQ0A205xFN0FunzsIdpcyrYt2XlSDBignTA7SbDKZi7UAAqhZay8qdcdFp9d1I5DgSxDu8MBEL-jpworlD0ooblSD44K8VpNudsuHoi-WiUH54x-90w/bDZ0f4JuvL--SUYqUQwhUW1yTgo364XwxZckeTGvEqA),Food,Cooked,You'll know this simple dessert is done baking when it smells just delightful.,"Tabantha Wheat,Bird Egg,Cane Sugar,Goat Butter",,
Energizing Glazed Meat,40px-BotW_Glazed_Meat_Icon.png?version=6853bbe4025a53437926382252b14be9 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/GXh0UfobZi8wXYjooRZDfA/ZInlP70ypOqsk5-YcfMWoR1wMKM-9AUfh2WLu54IFK4mvVRnSg-PCjUc-3QnSJ5C-KlTcyAiwwVs-cfqqi454K2LmkiAjuu24123Y8kxSsJbqv5oioP8BaV1XAeQFnCi4CouoU2tnFVJnWqEWDOKPL6cRWQGGoHA7NomesxKQAz3AYriIIcg6e5PFbo3z8tO/77yI7KVtjMWXICUfVHhEERTsO7diD4Jix-t8yyEkInU),Food,Cooked,"The sweetness of the honey permeates the meat, giving it a complex taste profile.","Courser Bee Honey,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Energizing Honey Candy,40px-BotW_Honey_Candy_Icon.png?version=5fdb6cf9c8dea5caad1dee4c044f7152 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6iu9pHfVFoB-q_lYSlh8zA/Q-jeDw_Luavd3vbA7ulEfKNJC6vDh0ocwxqEy53D3eOXlHgJLzIXKCP3bL_IDAW-c1dceF315Uyt8erFGOfuTK0UkDhqqUT5-vuKux6FR-iuz-LYgZ3LD-bEAcRqiBDY8pUzHJSRMLQOM9OVcVdvnTHpz0f0TBccRy6i90YqBl2gZD8L-JZHRsx3CPe6qtM5/8CCY0NtNGiYqpBIZDeYRrq_vVphXsE8_5WjA8UJ4fa4),Food,Cooked,"A natural sweet, brimming with nutrition and made by stewing fresh honey.",Courser Bee Honey,,
Energizing Honeyed Apple,40px-BotW_Honeyed_Apple_Icon.png?version=63645d15c59e85ebf8beade6e7672fd4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ReOpRvI27Ict7joEsgMyRA/Doe9tqv6MxxBMpGWYb0JKUUd45wSPxLdTZD1wRvXq8MWi2wqPX51sRNxitpp10q6GRmguCcDeXUhMI1mGAmoo4DqURuRqCg0wa8sBOPpluD7ftQpBvT0U7ypLjrR5WvrtJJfmPE1IHwGWlRB_tZLSUjMvG6NSiuNP8N4OWNBxhSheXGbNEPMiN8rVD06eFQb/L7LI5v36fY0szaa8UmSrB-_YtXn82FOR1KflkljsdWo),Food,Cooked,A juicy sweet-and-sour dish combining newly ripened apples with honey.,"Apple,Courser Bee Honey",,
Fish Skewer,40px-BotW_Fish_Skewer_Icon.png?version=225f6697bc4c1587b33ff1fae25939e4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/NJI2ZV2kHi98FuIm-j4kLA/IyHZA-aU73BGsD9m2If9hK6BNlaXWsJfmNT0lbbkHXV5W1zm1iJo6REdIZrKDbHMYWXmNDObiEK9WiitBAWBRTD6CoiEmqDHBOTQ8rbm_yQtFGAadwNMzDRJ_Q6s5gHaQkMTMVRQVLDtS6pL8KWPu8rC6hV62vh6BvmzlS3M5-l3aEV5NGmslBf_j8K7wYp9/VDY5gmKgNpgLde2G3em3WFExeEfgv2OEbxZsrca768s),Food,Cooked,A simple dish made by cooking chunks of fresh fish on a skewer.,"Armored Carp,Armored Porgy,Voltfin Trout,Chillfin Trout,Sizzlefin Trout,Stealthfin Trout,Hearty Bass,Hyrule Bass,Staminoka Bass,Hearty Salmon,Sanke Carp,Mighty Carp",,
Copious Fish Skewers,40px-BotW_Copious_Fish_Skewers_Icon.png?version=7d84323c6f3ceaba43f1a54b4e893f87 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/dZGO47ALwg8jAf4qh8YrIA/P1fGSPeXb8Gt1ogZ1_Sz5K39B2ofzaPFUtBCiA5X53SFYavhqRal-EXRrwYlRUcXYin4FioGXDEHTug1ROOL1oN728g9p8gDis1M7AHNkmqInLH6X4XQOpTblavUuNuYj9bxtrTS-T4XHyb0AqmRlQ_TwJAdGpYrwXxJj3SW0XLpt1lrmYcwDRK-UqVFVjiq/rEF7NpBlh5lyjYCsgvuF27Tb7CPs2XfbmTEaEhv1xCY),Food,Cooked,"It's just a whole heap of stuff shoved on to a skewer, but it's still a pretty tasty dish.",Any 4 different Seafood,,
Fish and Mushroom Skewer,40px-BotW_Fish_and_Mushroom_Skewer_Icon.png?version=950784e90165ed2438f01113197cf2f5 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/55l4TZIp5arnBf7fMJDrvQ/BGlnVLVPsLFkC05rD_8tHE5ajutL1wkORIlFRxZa0IIM8hcN701sjXYrC_AqWjywQXl0uTxOMQCyr_UpUZHPgwyErdrif3RtQnYckb6QknaF3w5YC2rL3VQ--rgJxIKEmaunEpWu1fmWf53npMUONnvh1VSEvh04ihkc4b0fxuioMnaZHUTPxT6Ytt61r3I5/ICdIm_DUv-IOdglvLYe2g_Yfhu1edRoGRFVJ0D0Eorw),Food,Cooked,"A simple dish made by cooking skewered, fresh fish alongside fragrant mushrooms.","Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Voltfin Trout,Chillfin Trout,Sizzlefin Trout,Stealthfin Trout,Sanke Carp,Mighty Carp,Armored Carp,Hearty Bass,Hyrule Bass,Staminoka Bass,Hearty Salmon",,
Fish Pie,40px-BotW_Fish_Pie_Icon.png?version=89fd525e611fa0c440be18b87e7bc4a5 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/KvRxKZnbboVBMrqE0s8ULw/OiCpnhNshX1NosFBuknMcy5djipdIuhARwgN3t4ZY_ZMkHt6rLl3vEklWBtYKXLwhj4rDp9Xy2Cj5acYxRU0KLaN5YdkGs6xF-yrBJbfspGG6kigp-_N0wnN-3uWMPrQXxeRiL9Z3ojibmOdZ_43iYqmdLsYo6vD3aQNpXFqQpM/PSW1uchoAvl1zAVclv9izSe1dmG6TUl4XeWumiJyrnA),Food,Cooked,"A mainstay in any fisherman's home, the crisp crust pairs well with the fishy flavor.","Tabantha Wheat,Goat Butter,Rock Salt,Any Seafood",,
Fragrant Mushroom Sauté,40px-BotW_Fragrant_Mushroom_Saut%C3%A9_Icon.png?version=53bfc99a5640354b744a64b2cf5ae47f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/FJIxZyItTZzVzy4nAOX1Lg/yWw_K_e07bYrgVNwftAyQzMoa-BZIvVYqHN91NXL-Hs78QnhoEX_HmuItf_vrCytf40g3qT2HlmrXjB0i8YFif8r6LQJ5IjJOHbsO2Yo8TRb7gNOHeroM270Wdz6d1ddxbvpRrHL355nKg6bbrmZqRGXPDBJ5RoBPuGmmpA_NN2LAqm7peDWU7m0-JwfFfd1itaItyQQe_Qj--6taCwN3w/m5M4GFI62cfJiwGJMhW05oU0OpDBU5KMQZvHx_rSE8w),Food,Cooked,The fragrant aroma of this sautéed spice and mushroom dish makes your mouth water.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Goron Spice",,
Fried Bananas,40px-BotW_Fried_Bananas_Icon.png?version=18df3e6ad13b0e43afb03d43ce9a94a1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/gNcJN9o_CVG3HOYj728ogg/VVAFiJ1m0QEK48k8mhmnHHPowokhiGloiaelJdq6R31EWzpcxR5s0BX4WuR9W1FfNRttixk7ckVNaHTj54laPin79zX8fogiyLRPtcd62F9K-DAYT4t8mrkHJ1nBkaiOInVnONPbXPldZFYRxF20pP5M8f8fEhnL0Adnftbg4g8Wipv8OGeQZBTeUkttbGJE/W1XfbVLMnoQFafF5leyreRbzj3z_4EPHbAdI0kD9cd0),Food,Cooked,Children love fried mighty bananas. The trick is frying them over very high heat.,"Mighty Bananas,Tabantha Wheat,Cane Sugar",,
Fried Egg and Rice,40px-BotW_Fried_Egg_and_Rice_Icon.png?version=5768fb880beee23124edc9ac24a4871b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Tl03Qa3ArVk32knJzYM9uw/vgE2lj-blUoVXOcKDv_RDB6cticb91j8EvUhaHrPpoEJxOk6tEtkfAAbwdtUcOc3i4hBNiQWP_cR3YNhS4RESZ5vzElnybIWROpuX-I9SvaagmkbwhNQy8OecFix4yhhiAchU83KIDL_WZj2fXZPsyaZ4M6xLrs0drhsTrHc8lt9cr3om645ImE4N3H5AUDI/lqMl17XvJMnLHgxHUZOtvb8nA3aEUgUgu2weTYSke5k),Food,Cooked,The soft egg yolk pairs well with the fresh rice in this simple dish.,"Hylian Rice,Bird Egg",,
Fried Wild Greens,40px-BotW_Fried_Wild_Greens_Icon.png?version=a1ac51dcf056bac31ed83659dd11bb9b (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/AJ7gzUI571il4Tv-zr1hpg/KolNAMZFzujCRYKnu6cMK0aKxXZX1Ql1Y9a5jR8fIE-0TZsylqi42dcG2AoNJW3-Z9-iECk13mzDsbEar47NKXW-zqmuQYMYG3HkCGXE6L4Slp9MXG8jTLndMfrjtjYcDHrmYNm8Hm4hDZuH9WsFMLiiJQqU0q5-avku3SRFwOYfMg-cVUQtgLVlU3dqzhEE/LRhJfSbfCMDPjeM4kxaHy45jbr4sCnU5xY28DoEpnoY),Food,Cooked,A basic vegetable dish made by sautéing fresh wild plants.,"Any Vegetable,Any Flower or Herb",,
Copious Fried Wild Greens,40px-BotW_Copious_Fried_Wild_Greens_Icon.png?version=a22d34e29e2a17376c279e547869e18f (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/eQRLxGBndlLsJ1k3nZMvXg/Nl-0blJcuu2Rr71LwvltzJeestQES-NvyuuFeW-zBkY_1czT4Fnsq1T9g7Zx8h3nIt3rcQl7pLByeFA9N_nO--mWy3g9hqOLJXsuEEu6hLyMMfjwFFi9kErchc5T3dxsNgxuBSaRM59625c-pmzHx-v7YB7p6icSEuOdBi7GzbcXPB8NKuO9vs5Rp3fh146t/7pA5Bjcm9djYXU6_nnKd3sKoN2Piy3nvC5n18LhsMWY),Food,Cooked,A healthy dish made by cooking mixed greens over a strong flame.,"""Any 4 different Vegetables, Herbs or Flowers""",,
Fruit and Mushroom Mix,40px-BotW_Fruit_and_Mushroom_Mix_Icon.png?version=dcedc45108982967d154c8cf1ae1a281 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/96-94mtd9O_Jw2o6W2UGew/rndixicQaXTIZ9nnZPd2Z1fRrC8mOVsXRt_9KEh0Rms1hO-Zix30Xkr-Pd2iPbLyp6hSueljO5oOI0ZIIBwwGcQ08uTlth9WBUP_tcZAX2m6144ZuU2sBCVhJI2dd0CaX97NCRBfnndcMOwrrxTNLc76g_CmzXKG8yd8I6pv4C4O0b6GgbboSjwJrfF4c61v/IrFYDElwirrnBWvhUSztNS__fzFs9Jsc6fmtDIfRxOs),Food,Cooked,This dish contrasts the sweetness of fruit with the savoriness of mushrooms.,"Apple,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Palm Fruit,Spicy Pepper,Voltfruit,Wildberry",,
Fruit Pie,40px-BotW_Fruit_Pie_Icon.png?version=7f165bacbcef5fb25933480901e2e2a5 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/HZNeWYVSLdSCY3KrGWnltQ/mEJlsdp9KsVDhnM3UL8NZMDTt56MrKIgFmp0EUQ_iiK35LTNjhmFtINW2HYjmz9KfbTak8_Ovy38n1ueizuayD9BxwcBYmry8CxPEnSondhc9G6tyuDmi_Y4hFWx_V5V-QSUWJ5QTOfuCpa1MFp9jL5apgrccl9TyhPx-eopE60/xf8BVcg0WR2hUxJ0xnGFQKgWAlwe4amrHySI0EpHp08),Food,Cooked,A celebration isn't a celebration until this fruit-filled crust hits the table!,"Tabantha Wheat,Cane Sugar,Goat Butter,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Palm Fruit,Spicy Pepper,Voltfruit,Wildberry",,
Fruitcake,40px-BotW_Fruitcake_Icon.png?version=90191ae1c5d5bdfffb5d850809bf04fb (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/diN9mcmOwEhKayu0o-d_aQ/DISj_wnftSHeajQDJ4pNEEmYrY4pr8xkvLs-6ITulo0rGcZ0lRc4rRJ8Q9jbGcnTqpoBIs3FWv1jVip4t3OZc_IoobNZPO6teLP2943pfPJQD1xIGt-xTT9zazwDsiMf5oWYCbubMH4FxKdoquT1m-omCYD702CpbSlEjhS_88c/rMGlsVLxOsMma-2ikUklXIfpgBh68QEERlPONG1rZ1c),Food,Cooked,"Making ample use of fruits found all over Hyrule, this cake is a must for celebrations.","Apple,Wildberry,Tabantha Wheat,Cane Sugar,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Voltfruit,Palm Fruit,Spicy Pepper",,
Glazed Mushrooms,40px-BotW_Glazed_Mushrooms_Icon.png?version=0bad3382c2a9dfd710c612225910e279 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/3aZSoAtR9DQJOnj8A4pChQ/t356oSwQRxQW_-cNSi8xkkdgo8JPCnlnDQ6hI4GekwZZrVx3GOlxhLaU0jWDrNlqBR62sryhhUNd554kwcfNgJhNqvMITCJkBAEmCmo9E4gpeGmL-uIxe44Altkro-UhxO414vjLSuOyeDOnVvuVSYgFw28NsrA4SaDhhJ4j-zas7V26NyU-70VdiVnnmjco/vSTGM-okT1n3JC8x90bPdWOX7fceM6apuFT1ViLuDqY),Food,Cooked,"The honey in this mushroom dish gives it a sweet, complex taste and a savory finish.","Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Courser Bee Honey",,
Glazed Seafood,40px-BotW_Glazed_Seafood_Icon.png?version=88c75444a77adb592c3132b31a0b8001 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/JbpCKVZmCfwNuipQ78HXrg/UGZnnW1lKlzhYWU4wjt-5ZTeiRGX2Gmj5cN5gVS0AeAiK81JSqWM24DeKzX7ZVa-QPLpNTFCXDaMJCIzkKS5-Dor_8dHkiNQ88PMAYa0N_gS3nWFf9I3fnF_qQqaYrjjma_bTyvZdxuXmAjQr1f3t9BgrrTsat8RkFbZTE4Yt95ucecvvMn1IHlxrHtsfkMV/f6AlqoCdJzW3EzdDH1qP3M4xZ7buZ7eKE6mclsPItzE),Food,Cooked,A seafood dish that you can actually wolf down whole!,"Courser Bee Honey,Any Seafood",,
Glazed Veggies,40px-BotW_Glazed_Veggies_Icon.png?version=c5a12f182eddb95c44992be37fad8166 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ug959iBAMu40GkKbeyehsg/Wafr_of27O15ln5L_WWCszes5K75h8PsKJcIXc5OE9lanng0ukFV2UQa-J8itZZu_Ksh0mBYUpCN2ZaVhzl_0oRaLpLGWdVcRQRPnnyzZu3A0s-gNPR9iIbNkmWJhE6z-yfg0nadOps9FDYOKu_R_tawq-c4OvJH_8cZPDzwxr6dhsr-8c1-OSiBrCLRRsY4/2PAGasX_fy1SGabpjlbsYqiiDV175YH_murMiJe014s),Food,Cooked,Don't like the taste of vegetables? Simply sauté them in honey for a salty-sweet flavor!,"Courser Bee Honey,Any Vegetable,Any Flower or Herb",,
Gourmet Meat and Rice Bowl,40px-BotW_Gourmet_Meat_and_Rice_Bowl_Icon.png?version=3213097e078677540ae82d77a18f2a95 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/ExepDanZoLfwpqehAuCNeg/DQFFGU4gBD3jwgOlQhGgrlR4PW181i5CRHILTJ0uE99eMPZDFlSwfFKTeyq7Zf92-5jZmuzmh99DpVJWbdCGuacoBRASK2bBJJsZE5I0eU_bt5cU3trsjH_QqT6ToFc_mpWBeAEfejcsCGTTcV0PLtPpiOS1PWYD35L9HXORx4VmpKoyde1AtPsUJcMBbxSM/axx0M8j-fR32JhFPMKw_lMF6G_vrOMhK9-B3_Afdj0M),Food,Cooked,Only the most carefully selected cuts of high-quality meats go into this dish.,"Raw Gourmet Meat,Hylian Rice,Rock Salt",,
Gourmet Meat and Seafood Fry,40px-BotW_Gourmet_Meat_and_Seafood_Fry_Icon.png?version=93988317c50cb0acb5567dad431ba05e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/OZGtnuebDFQK8Hcg9nQLjw/RiHhC5clMPxFjOOhtic-Ip0sNLYp1EDu0neSggWZAyoaoGXgAY1K8ro83a1ebbKXAR8jMGxbmS1N6lOkOLJFqB4ppb4TLGkSycAVb8Kqqcc-LdUH6sMmrgYIOfeL7in4FRvD4QWDrzZvOrCJD9M1qkvoo972LFrgA9WJjIGt3Wu7TFdjgPa0tcA-fr6ckpkg1cnfahLMfB28GEvOkE2YaA/9hbet-3WCWxWvEHfIzOcTTZ8P1mxkh7wle6v4m8GOQo),Food,Cooked,A marriage of the choicest cuts of meat and seafood. As delicious as it is filling!,"Any Seafood,Raw Gourmet Meat",,
Gourmet Meat Curry,40px-BotW_Gourmet_Meat_Curry_Icon.png?version=3e71f6a50ac1465f9bc4018cb6f2dfb8 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/8WNd7JhVFNnwqrQXiY0ekg/s-35JbUi1RUr_XTvH2DHKu3qCok7X-9YxrONg5WZJN2q-S36hhJX6S0MgvKGNY63FvLjdSW4ndAUSrDvVKO5jnCsRdD7fUlXzaR_qiBVQfn-zQq_IZfRBgQqamKzd2wVJZ2Dx3n_wdYA18jbyJkNRQ4lb-UFOwaPR6_pSrJx3vytpFmL9Zf9xAy0mSjKOQqc/T_qUvtqGYia_qqq7fTfPwYLA37gKbfr26g2j9X3sdrc),Food,Cooked,The high-quality meat used in this prized dish satisfies meat and curry lovers alike.,"Raw Gourmet Meat,Goron Spice,Hylian Rice",,
Gourmet Meat Stew,40px-BotW_Gourmet_Meat_Stew_Icon.png?version=a53b8e32d279af25541c87b3f4089a62 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Y_QsrNXk88EniDbblobSaw/6buZtOQZoA6D3J01CHZuhjHa4xdqq6eDDeZh3CR-fH3V8OHozHnUzqoTzFuN-io-iZQkn_ob_GYJQK74UvhUvws8NwTUrVGoHS2CuFqxjFshrLZ553GC7dnWrnHIV2jIXGX8bfssjCzSApeZfGK2lm_MVq8pBtDBI5kOAT17YialJtiGzufDvcpX5rQVTc_U/TvU_ErgUSIB9_HhgB1JCMgG6p9sKPGpk6xHReIylOJg),Food,Cooked,The meat has simmered for so long it melts in your mouth. A true bucket-list meal!,"Tabantha Wheat,Fresh Milk,Goat Butter,Raw Gourmet Meat",,
Gourmet Poultry Curry,40px-BotW_Gourmet_Poultry_Curry_Icon.png?version=51e0dd392ab1d9e9b3c79cbc637cac75 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/oCGs6D8g-ptGRePoHET_1Q/b4xLqzBz0PYyObAWRFGSGe8XdGTq_U79Xv5qHwBIomovZd-HPeQS-UOFlY9qdt0tySIk1uuSzc-wfkSeML_eIoFiDt5mkR5t_rY8dwzfs5GABXxDTOGvNOvc1NmWUjga3Xao09idwwcHw0kmYluNdntyVv2uViDv18o3aVWwSRro1osv8yJP2VUiC7wZ71c9/nDiSjHrasHuWUorzx-I3d-MsD-lLSbMH48gqDneosDw),Food,Cooked,"Once served in Hyrule Castle, the poultry used in this dish is of immensely high quality.","Raw Whole Bird,Goron Spice,Hylian Rice",,
Gourmet Poultry Pilaf,40px-BotW_Gourmet_Poultry_Pilaf_Icon.png?version=56d5eb99536b748f04f889f6c752fd39 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/yUL_bZtcRzqHY_fN1jFjKw/V31_oRc3RR2R9-aeXSizUCkvTF2Zxbq8adWHr9Qx0i_ut2lj_Jy-EBBr5nX7LtBkfB6FaaHBWtHYY0YLWOeQ1mHsUqnWlL5QymbYxfzgl7dm44ns4h506Dqah3TWxX15WcKQm1oD36B9eHmegWTwEMvTyQxrp3b6CYZ564vwIdZs3rIMDjgdpWXUzCsvTQbP/rOr2U8ZETuI_Vhf2uTAbXOKyKXLiXu_WC8OvXRrR_do),Food,Cooked,"Made with the highest-quality poultry, every bite of this pilaf floods your mouth with flavor.","Raw Whole Bird,Hylian Rice,Goat Butter,Bird Egg",,
Gourmet Spiced Meat Skewer,40px-BotW_Gourmet_Spiced_Meat_Skewer_Icon.png?version=a0c791ebfa3579a9e4eaec9b3d4a3865 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/xcXmHofK3Dz4pYL3HJ_oOw/z3RzMuMphZ1oUyBro5ClzslvJ7C3ooEYVjoZvSSEFWJK15SxRfBXbWMmPidBsA4Sn9oYQlO78q8nSIWFoEpGzgRb3rFua2VgUcazgKzgZ_HfuQjZNYj_vM9LTC14QsyWVHqJoZGXx7OdaPNAa9qtaJ4Xn2Xi4oEBg80SaJkNXWF9PQq7kWz8nd-c5sOh_GXo/vZ-OnT_wy9_771q5NsSIW4nv1Q6w74pBD_zgcQoIDms),Food,Cooked,The rich aroma and juicy texture of this high-quality meat puts it in a league of its own.,"Raw Gourmet Meat,Goron Spice",,
