name,class,subclass,durability,strength,description
Royal Guard's Bow,Bow,not apply,20.0,50.0,"This prototype Sheikah-made bow was designed to fight the Great Calamity. made with anient technology, it boasts a high rate of fire and firepower but has low durability."
Savage Lynel Bow,Bow,not apply,45.0,32.0,This Lynel bow is made from a special steel found at the peak of Death Mountain. It has tremendous stopping power and can pierce thick armor as easily as thin paper.
Silver Bow,Bow,not apply,40.0,15.0,"A bow favored by the Zora for fishing. It doesn't boast the highest firepower, but the special metal it's crafted from prioritizes durability."
Soldier's Bow,Bow,not apply,36.0,14.0,"A bow designed for armed conflict. Inflicts more damage than a civilian bow, but it will still burn if it touches fire."
Spiked Boko Bow,Bow,not apply,20.0,12.0,"An upgraded Boko Bow bound with animal bone to boost its durability and firepower. Its craftsmanship is sloppy, but it's light and easy to use."
Steel Lizal Bow,Bow,not apply,50.0,36.0,This bow is wielded by lizalfos who are expert marksmen. The metal that reinforces much of the weapon adds some additional weight but offers heightened durability.
Swallow Bow,Bow,not apply,30.0,9.0,"This bow is a favorite among Rito warriors. The bowstring has been specially engineered for aerial combat, which allows it to be drawn faster than a normal bow."
Traveler's Bow,Bow,not apply,22.0,5.0,"A small bow used by travelers for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance."
Twilight Bow,Bow,not apply,100.0,30.0,"A bow used by the princess who fought the beasts of twilight alongside the hero. It's said to contain the spirits of light's power. It fires arrows straight and true, as if beams of light."
Wooden Bow,Bow,not apply,20.0,4.0,"This wooden bow may not be the most reliable for battling monsters, but it is excellent for hunting small animals."
Arrow,Bow,Arrow,0.0,0.0,not apply
Ancient Arrow,Bow,Arrow,0.0,0.0,not apply
Fire Arrow,Bow,Arrow,0.0,0.0,not apply
Shock Arrow,Bow,Arrow,0.0,0.0,not apply
Light Arrow,Bow,Arrow,0.0,0.0,not apply
Bomb Arrow,Bow,Arrow,0.0,0.0,not apply
Silver Arrow,Bow,Arrow,0.0,0.0,not apply
Ancient Cuirass,Armor,Body,0.0,0.0,This armor was created by ancient Sheikah technology using Guardian parts. Equipping it will reduce the damage you take from ancient weaponry.
Barbarian Armor,Armor,Body,0.0,0.0,Armor once favored by an ancient warlike tribe from the Faron region. The war paint bolsters your fighting spirit and raises your attack power.
Champion's Tunic,Armor,Body,0.0,0.0,"In ancient Hyrule, this garment could only be worn by one who had earned the respect of the royal family. Equipping it will reveal an enemy's life gauge."
Climbing Gear,Armor,Body,0.0,0.0,The ancient technology in this gear will make you a better climber. The special no-slip gloves help you use your energy more efficiently to facilitate nimble climbing.
Dark Tunic,Armor,Body,0.0,0.0,Kilton developed this jet-black armor as a result of his monster research. A spurious replica of the green outfit once worn by a legendary hero.
Desert Voe Spaulder,Armor,Body,0.0,0.0,"Armor for males sold rarely by Gerudo retailers. It contains sapphire, which harnesses the power of ice to make hot climates more tolerable."
Fierce Deity Armor,Armor,Body,0.0,0.0,"Legend has it this armor once belonged to the hero of a world in which the moon threatened to fall. When you wear it, you feel a fierce, godlike power flow through you."
Flamebreaker Armor,Armor,Body,0.0,0.0,Armor crafted by Gorons for Hylians curious enough to visit Goron City. It's made from fire-resistant rocks to protect the wearer.
Gerudo Top,Armor,Body,0.0,0.0,"Standard Gerudo garb popular for its open, breathable design and for the traditional Gerudo markings that adorn it."
Hylian Tunic,Armor,Body,0.0,0.0,"A common garb that achieved widespread popularity in Hyrule, particularly among travelers. Its light-yet-sturdy fabric doesn't limit movement."
Nintendo Switch Shirt,Armor,Body,0.0,0.0,"Expansion Pass Bonus A shirt with the Nintendo Switch logo on it. It's a rare article, if you sell it, you can't get it back, so wear it with pride!"
Old Shirt,Armor,Body,0.0,0.0,"A thin shirt made long ago. It's coming apart at the seams, but it's better than nothing. The sleeves are a bit on the short side."
Phantom Armor,Armor,Body,0.0,0.0,"Myths abound about armored phantoms that terrorized brave heroes. This piece looks just like the armor they supposedly wore. If sold, this rare find can't be replaced."
Radiant Shirt,Armor,Body,0.0,0.0,This shirt is sold at the Gerudo Secret Club. It glows with a strange pattern in the dark due to a dye made from crushed luminous stones.
Rubber Armor,Armor,Body,0.0,0.0,"This armor has built-in electricity resistance thanks to its source material—an ancient marvel called ""rubber."" Such technology does not exist in this modern age."
Snowquill Tunic,Armor,Body,0.0,0.0,"Lined with molted Rito feathers, this tunic was made by Rito artisans for Hylians visiting cold climates. The feathers are stacked in each layer to retain body heat."
Soldier's Armor,Armor,Body,0.0,0.0,"Hyrulean guards praised this armor for its superior defense. Made from sturdy plates of metal, the high level of craftsmanship that went into it is obvious with just a glance."
Stealth Chest Guard,Armor,Body,0.0,0.0,"Armor designed for stealth, passed down through the Sheikah tribe. The special fabrics suppress the rustling of clothes even when moving quickly."
Tingle's Shirt,Armor,Body,0.0,0.0,"There was once a man who claimed to be the very reincarnation of a fairy. He tresured this shirt, and so will you. Kooloo-Limpah! If sold, this rare find can't be replaced."
Tunic of the Hero,Armor,Body,0.0,0.0,"Legend has it this armor was once cherished by a hero from ancient times. Its design is rather simple, but it's such a traditional look."
Tunic of Time,Armor,Body,0.0,0.0,"Legend has it this armor was once worn by a hero who traveled through time. Strangely, its special design is fitted for children and adults alike."
Tunic of Twilight,Armor,Body,0.0,0.0,Legend has it this armor was once worn by a hero who battled the monsters of twilight. There still seems to be some hair clinging to it... Looks like it may be from a wolf?
Tunic of the Wild,Armor,Body,0.0,0.0,"This armor was apparently crafted for a hero who travels the wilds. Strangely enough, it's just your size."
Tunic of the Wind,Armor,Body,0.0,0.0,Legend has it this armor was once cherished by a hero who sailed the Great Sea. It's said to have been a gift from his grandmother.
Tunic of the Sky,Armor,Body,0.0,0.0,Legend has it this armor was once worn by a hero who appeared from the sky riding atop a mighty bird. Apparently it was presented to celebrate the completion of a ceremony.
Warm Doublet,Armor,Body,0.0,0.0,A warm pullover typically worn by mountain folk. Its sturdy fabric and thick gloves are great at retaining body heat.
Zora Armor,Armor,Body,0.0,0.0,Custom armor painstakingly crafted by each generation's Zora princess for her future husband. Wearing it will give you the ability to swim up waterfalls.
Amber Earrings,Armor,Head,0.0,0.0,"One of the items sold by the Gerudo jeweler. These earrings are made with amber, a gem that harnesses the power of the land to increase defense when equipped."
Ancient Helm,Armor,Head,0.0,0.0,This headgear is the result of Robbie's research. It uses Guardian parts to decrease damage from ancient energy attacks.
Barbarian Helm,Armor,Head,0.0,0.0,"A helmet once worn by the warriors of an ancient warlike tribe from the Faron region. Wearing it draws out your inner animal, increasing your strength and battle prowess."
Bokoblin Mask,Armor,Head,0.0,0.0,"Kilton's handmade Bokoblin headgear. It's almost charming in a cute, monstrous kind of way... Equip it to blend in with Bokoblins."
Cap of the Hero,Armor,Head,0.0,0.0,"According to legend, this cap was once treasured by an ancient hero. It's quite the simple cap, yet there's something about it that's just so appealing..."
Cap of the Wild,Armor,Head,0.0,0.0,"According to legend, this cap was crafted for a hero who travels the wild lands. Wearing it just feels so right."
Cap of the Wind,Armor,Head,0.0,0.0,"According to legend, this cap was treasured by a hero who traveled the Great Sea. It flaps quite serenely in a soft sea breeze."
Cap of the Sky,Armor,Head,0.0,0.0,"According to legend, this cap was once worn by a hero who appeared from the sky riding a mighty bird. Perfect for those who long to take to the skies."
Cap of Time,Armor,Head,0.0,0.0,"According to legend, this cap was once worn by a hero who traveled through time. A truly timeless item perfect for kids and adults alike!"
Cap of Twilight,Armor,Head,0.0,0.0,"According to legend, this cap was once worn by a hero who battled the monsters of twilight. For one reason or another, it seems to smell of some beast..."
Climber's Bandanna,Armor,Head,0.0,0.0,"It may look like a regular bandanna, but it's actually infused with ancient technology that enhances core strength to improve your climbing ability."
Dark Hood,Armor,Head,0.0,0.0,This headgear is the product of Kilton's monster research. He crafted it with a monster born from the shadows in mind. The eyes glow an eerie red in the dark.
Desert Voe Headband,Armor,Head,0.0,0.0,"Gerudo armor for males. Contains sapphire, which harnesses the power of ice to make the heat more bearable."
Diamond Circlet,Armor,Head,0.0,0.0,"A luxurious headpiece sold at Gerudo jewelry shops. It's decorated with a diamond, which harnesses the power of light to reduce damage received from ancient enemies."
Fierce Deity Mask,Armor,Head,0.0,0.0,"Legends say this mask was once worn by a hero from a world in which the moon threatened to fall. It looks scary, but wearing it offers fierce, godlike power."
Flamebreaker Helm,Armor,Head,0.0,0.0,"Stone headgear made by Goron craftsmen to protect tourists visiting Goron City. As if its flame resistance isn't enough of a selling point, it also covers your entire head!"
Gerudo Veil,Armor,Head,0.0,0.0,"A mask worn by Gerudo women. It protects the skin from the harsh sun, but don't expect it to protect much in combat..."
Hylian Hood,Armor,Head,0.0,0.0,A hood woven using traditional Hyrulean methods. It's made from a sturdy material to protect travelers from the harsh sun and weather.
Korok Mask,Armor,Head,0.0,0.0,"A mask inspired by those fun-loving Koroks. It shakes when one is hiding nearby. If sold, this rare find can't be replaced."
Lizalfos Mask,Armor,Head,0.0,0.0,Kilton's handmade Lizalfos headgear. It's designed to replicate the unique tongue and horn of the Lizalfos. Equip it to blend in with Lizalfos.
Lynel Mask,Armor,Head,0.0,0.0,"Kilton's handmade Lynel headgear. It's so well crafted, it can deceive a real Lynel. Equip it to blend in with Lynels, but don't linger too long. Those beasts are smart."
Majora's Mask,Armor,Head,0.0,0.0,"An eerie mask passed down from ancient times. Wearing it makes it harder for certain enemies to spot you. If sold, this rare find can't be replaced."
Midna's Helmet,Armor,Head,0.0,0.0,"A helmet much like the one Midna wore when she fought alongside the Hero of Twilight. If sold, this rare find can't be replaced."
Moblin Mask,Armor,Head,0.0,0.0,Kilton's handmade Moblin headgear. It's designed to replicate the Moblin's distinct long nose and large horn. Equip it to blend in with Moblins.
Opal Earrings,Armor,Head,0.0,0.0,"Earrings sold at Gerudo jewelry shops. They contain opal, a gem that harnesses the power of water to increase your swimming speed."
Phantom Helmet,Armor,Head,0.0,0.0,"Myths abound about armored phantoms that terrorized brave heroes. This helmet looks just like the ones they supposedly wore. If sold, this rare find can't be replaced."
Radiant Mask,Armor,Head,0.0,0.0,"A special mask for members of the Gerudo Secret Club. Painted with dye made from crushed luminous stones, it gives off a lurid, mysterious glow in the dark."
Ruby Circlet,Armor,Head,0.0,0.0,"A headpiece made by Gerudo craft workers. It's set with a ruby, a gem that harnesses the power of fire to make cold climates more bearable."
Rubber Helm,Armor,Head,0.0,0.0,"A helmet made from ancient techniques and electricity-resistant material. It's made from something called ""rubber,"" a material that can no longer be found."
Sapphire Circlet,Armor,Head,0.0,0.0,"An intricate headpiece crafted with Gerudo goldsmith techniques. It's set with a sapphire, a gem that harnesses the power of ice to make hot climates more tolerable."
Sheik's Mask,Armor,Head,0.0,0.0,"A mask said to have been worn by a Sheikah who saved a time-traveling hero. Made from the finest of Sheikah stealth fabrics, it is the final word in undercover gear."
Snowquill Headdress,Armor,Head,0.0,0.0,"A Rito accessory made from snow-bird feathers. It's adorned with a ruby, a gem that harnesses the power of fire to make cold climates more tolerable."
Soldier's Helm,Armor,Head,0.0,0.0,"Headgear made from sturdy metals for frontline soldiers. Praised for their defensive capabilities, the only helms that remain are those that survived the Calamity."
Stealth Mask,Armor,Head,0.0,0.0,"It may look like a regular cloth mask, but it was made using Sheikah crafting techniques to suppress the noisy rustling of clothes. Perfect for sneaking about."
Thunder Helm,Armor,Head,0.0,0.0,A precious heirloom passed down among the Gerudo. It deflects lightning strikes and is traditionally worn only by the Gerudo chief.
Tingle's Hood,Armor,Head,0.0,0.0,"There was once a man who claimed to be the very reincarnation of a fairy. He treasured this hood, and so will you. Kooloo-Limpah! If sold, this rare find can't be replaced."
Topaz Earrings,Armor,Head,0.0,0.0,"Earrings made by Gerudo craft workers. They're made with topaz, a gem that harnesses the power of lightning to increase electricity resistance."
Zora Helm,Armor,Head,0.0,0.0,Zora headgear made from dragon scales. Increases swimming speed and allows you to use Spin Attack.
Ancient Greaves,Armor,Leg,0.0,0.0,Robbie engineered these greaves at the research institute using the same technology found in Guardian automata. They reduce damage from ancient weaponry.
Barbarian Leg Wraps,Armor,Leg,0.0,0.0,These leg wraps were favored by a warlike tribe from the Faron region long ago. They're adorned with traditional markings that bolster your fighting spirit to raise your attack power.
Climbing Boots,Armor,Leg,0.0,0.0,These rock-climbing boots have special no-slip toes that help you cling to walls. This ancient technology facilitates more nimble climbing.
Dark Trousers,Armor,Leg,0.0,0.0,"The result of Kilton's research into monsters. Looks like your average leg wear at first, but these were created based on the image of a monster born of darkness."
Desert Voe Trousers,Armor,Leg,0.0,0.0,"Gerudo-made trousers for men sold rarely by Gerudo retailers. Sapphire is used in their creation, which harnesses the power of ice to make the heat more tolerable."
Fierce Deity Boots,Armor,Leg,0.0,0.0,"According to legend, these boots were once worn by a hero from a world in which the moon threatened to fall. Wearing them provides godlike power."
Flamebreaker Boots,Armor,Leg,0.0,0.0,Goron artisans used flame-resistant rocks to craft these fireproof boots for curious Hylians visiting Goron City.
Gerudo Sirwal,Armor,Leg,0.0,0.0,"Gerudo favor this traditional sirwal. Its short length allows for ease of movement, and its subtle design is quite fashionable."
Hylian Trousers,Armor,Leg,0.0,0.0,"Traditional dress trousers of Hyrule. The plush fabric makes these trousers quite comfortable, and their high durability makes them ideal for travelers."
Phantom Greaves,Armor,Leg,0.0,0.0,"Myths abound about armored phantoms that terrorized brave heroes. These greaves looks just like the ones they supposedly wore. If sold, this rare find can't be replaced."
Radiant Tights,Armor,Leg,0.0,0.0,"These tights are sold in the Gerudo Secret Club. They're painted with dye from crushed luminous stones, which gives them an eerie glow in the dark."
Rubber Tights,Armor,Leg,0.0,0.0,"These invaluable tights are resistant to electricity. They're made with something called ""rubber,"" an ancient technology that no longer exists in this modern age."
Sand Boots,Armor,Leg,0.0,0.0,Gerudo artisans modified these boots for life in the desert. The special soles distribute your body weight evenly so you can maintain your normal movement speed on sand.
Snow Boots,Armor,Leg,0.0,0.0,Bozai was kind enough to lend you these boots. They evenly distribute your body weight so you can maintain your normal walking speed over deep snow.
Snowquill Trousers,Armor,Leg,0.0,0.0,"The Rito sell these trousers to Hylians in Rito Village. The inside is lined with Rito feathers, so they excel at retaining body heat."
Soldier's Greaves,Armor,Leg,0.0,0.0,"Hyrulean guards favored these greaves. They owe their distinctly high defense to the metal plates they're made from, but the added weight takes some getting used to."
Stealth Tights,Armor,Leg,0.0,0.0,"Members of the Sheikah tribe wear these tights when they need to move stealthily. They're made from noise-suppressing cloth, a hallmark of ancient Sheikah technology."
Tingle's Tights,Armor,Leg,0.0,0.0,"There was once a man who claimed to be the very reincarnation of a fairy. He tresured these tights, and so will you. Kooloo-Limpah! If sold, this rare find can't be replaced."
Trousers of the Hero,Armor,Leg,0.0,0.0,"Legends say these trousers were favored by a hero from an ancient age. Their simple design is a rare aesthetic these days, but there's something classic about them."
Trousers of Time,Armor,Leg,0.0,0.0,Legends say these trousers were once worn by a hero who traveled through time. They were originally made by people who made their home in the forest.
Trousers of Twilight,Armor,Leg,0.0,0.0,Legends say these trousers were once worn by a hero who battled the beasts of twilight. The insides are lined with cozy wolf fur.
Trousers of the Wild,Armor,Leg,0.0,0.0,"Legends says these pants were tailored for a hero who travels the wilderness. Strangely enough, they're the most comfortable pair of pants you've ever worn."
Trousers of the Wind,Armor,Leg,0.0,0.0,"Legends say these trousers were cherished by a hero who sailed the Great Sea. They're water-resistant, naturally."
Trousers of the Sky,Armor,Leg,0.0,0.0,Legends say these trousers were once worn by a hero who appeared from the sky riding a mighty bird. It was the official garb of a certain order of knights.
Well-Worn Trousers,Armor,Leg,0.0,0.0,"These old trousers are threadbare in spots, but they're surprisingly comfortable. The legs are a bit too short, though."
Zora Greaves,Armor,Leg,0.0,0.0,These greaves have been passed down among the Zora for generations. It's been said they're crafted using dragon scales. Equip them to swim faster.
